Route,Parity,BackendMounted,AuditResult,RegisterGapId
POST /v1/moments/{}/recognitions,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/recurring-schedules,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/recurring-schedules/{}/generate,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/relationship-activities,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/residents,BOTH,Y,PASS,SP-013
POST /v1/moments/{}/retrospectives,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/revenues,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/risks,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/settlements,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/shared-assets,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/tasks,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/tax-obligations,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/updates,BOTH,Y,PASS,SP-013
POST /v1/moments/{}/vendors,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/personal/setups/{}/activate,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/polls/{}/close,BOTH,Y,PASS,SP-013
POST /v1/polls/{}/votes,BOTH,Y,PASS,SP-013
POST /v1/telemetry/events,ANDROID_ONLY,N,CLIENT_GAP,SP-013
